,Year,county,state,count
0,2010,ACCOMACK,VA,1348
1,2010,ADA,ID,18217
2,2010,ADAIR,IA,120
3,2010,ADAIR,MO,1684
4,2010,ADAMS,IA,168
5,2010,ADAMS,ID,122
6,2010,ADAMS,IL,3559
7,2010,ADAMS,IN,218
8,2010,ADAMS,MS,3393
9,2010,ADAMS,ND,24
10,2010,AITKIN,MN,770
11,2010,ALAMANCE,NC,4240
12,2010,ALBEMARLE,VA,4567
13,2010,ALCONA,MI,280
14,2010,ALCORN,MS,0
15,2010,ALEXANDER,IL,757
16,2010,ALEXANDER,NC,1904
17,2010,ALGER,MI,207
18,2010,ALLAMAKEE,IA,0
19,2010,ALLEGAN,MI,3322
20,2010,ALLEGANY,MD,4998
21,2010,ALLEGHANY,NC,132
22,2010,ALLEGHANY,VA,568
23,2010,ALLEN,IN,22091
24,2010,ALPENA,MI,1468
25,2010,AMELIA,VA,368
26,2010,AMHERST,VA,1005
27,2010,AMITE,MS,16
28,2010,ANDERSON,TX,2562
29,2010,ANDREW,MO,348
30,2010,ANDREWS,TX,774
31,2010,ANDROSCOGGIN,ME,5278
32,2010,ANGELINA,TX,6375
33,2010,ANNE ARUNDEL,MD,37782
34,2010,ANOKA,MN,20672
35,2010,ANSON,NC,2214
36,2010,ANTRIM,MI,1156
37,2010,APPANOOSE,IA,625
38,2010,APPOMATTOX,VA,238
39,2010,ARANSAS,TX,1454
40,2010,ARCHER,TX,210
41,2010,ARENAC,MI,438
42,2010,ARKANSAS,AR,1606
43,2010,ARLINGTON,VA,10146
44,2010,ARMSTRONG,TX,44
45,2010,AROOSTOOK,ME,2201
46,2010,ASHE,NC,138
47,2010,ASHLEY,AR,1238
48,2010,ATASCOSA,TX,2085
49,2010,ATCHISON,MO,116
50,2010,ATTALA,MS,455
51,2010,AUDRAIN,MO,937
52,2010,AUDUBON,IA,72
53,2010,AUGUSTA,VA,1669
54,2010,AUSTIN,TX,1020
55,2010,AUTAUGA,AL,700
56,2010,AVERY,NC,533
57,2010,BAILEY,TX,376
58,2010,BALDWIN,AL,8801
59,2010,BALTIMORE,MD,57149
60,2010,BANDERA,TX,442
61,2010,BANNOCK,ID,1269
62,2010,BARAGA,MI,184
63,2010,BARBOUR,AL,963
64,2010,BARNES,ND,205
65,2010,BARNSTABLE,MA,15112
66,2010,BARRY,MI,2171
67,2010,BARRY,MO,1649
68,2010,BARTHOLOMEW,IN,5790
69,2010,BARTON,MO,425
70,2010,BASTROP,TX,4268
71,2010,BATES,MO,880
72,2010,BATH,VA,95
73,2010,BAXTER,AR,2083
74,2010,BAY,MI,5919
75,2010,BAYLOR,TX,153
76,2010,BEAR LAKE,ID,220
77,2010,BEAUFORT,NC,3052
78,2010,BEAVER,UT,72
79,2010,BEAVERHEAD,MT,116
80,2010,BECKER,MN,1186
81,2010,BEDFORD,VA,2494
82,2010,BEE,TX,1151
83,2010,BELL,TX,24378
84,2010,BELTRAMI,MN,3309
85,2010,BENEWAH,ID,72
86,2010,BENSON,ND,42
87,2010,BENTON,AR,9441
88,2010,BENTON,IA,431
89,2010,BENTON,IN,14
90,2010,BENTON,MN,652
91,2010,BENTON,MO,902
92,2010,BENTON,MS,0
93,2010,BENZIE,MI,686
94,2010,BERKSHIRE,MA,7295
95,2010,BERRIEN,MI,9022
96,2010,BERTIE,NC,670
97,2010,BEXAR,TX,27156
98,2010,BIBB,AL,658
99,2010,BIG HORN,MT,262
100,2010,BIG STONE,MN,128
101,2010,BILLINGS,ND,8
102,2010,BINGHAM,ID,1682
103,2010,BLACK HAWK,IA,8409
104,2010,BLACKFORD,IN,544
105,2010,BLADEN,NC,2291
106,2010,BLAINE,ID,680
107,2010,BLAINE,MT,69
108,2010,BLANCO,TX,326
109,2010,BLAND,VA,86
110,2010,BLOUNT,AL,661
111,2010,BLUE EARTH,MN,3794
112,2010,BOISE,ID,62
113,2010,BOLIVAR,MS,2079
114,2010,BOLLINGER,MO,238
115,2010,BOND,IL,581
116,2010,BONNER,ID,1680
117,2010,BONNEVILLE,ID,5323
118,2010,BOONE,AR,1844
119,2010,BOONE,IA,775
120,2010,BOONE,IL,1939
121,2010,BOONE,IN,827
122,2010,BOONE,MO,11203
123,2010,BORDEN,TX,4
124,2010,BOSQUE,TX,364
125,2010,BOTETOURT,VA,770
126,2010,BOTTINEAU,ND,52
127,2010,BOUNDARY,ID,192
128,2010,BOWIE,TX,8390
129,2010,BOWMAN,ND,2
130,2010,BOX ELDER,UT,1812
131,2010,BRADLEY,AR,344
132,2010,BRANCH,MI,1729
133,2010,BRAZORIA,TX,10701
134,2010,BRAZOS,TX,15938
135,2010,BREMER,IA,462
136,2010,BREWSTER,TX,257
137,2010,BRISCOE,TX,20
