,Year,county,state,count
0,2010,ABBEVILLE,SC,1402
1,2010,ADAIR,KY,137
2,2010,ADAIR,OK,839
3,2010,ADAMS,CO,19408
4,2010,ADAMS,NE,1797
5,2010,ADAMS,OH,571
6,2010,ADAMS,PA,1227
7,2010,ADAMS,WA,1858
8,2010,ADAMS,WI,982
9,2010,ADDISON,VT,1582
10,2010,AIKEN,SC,11224
11,2010,ALACHUA,FL,21552
12,2010,ALAMEDA,CA,121814
13,2010,ALAMOSA,CO,1344
14,2010,ALBANY,NY,22068
15,2010,ALBANY,WY,2024
16,2010,ALFALFA,OK,93
17,2010,ALLEGANY,NY,1675
18,2010,ALLEGHENY,PA,54832
19,2010,ALLEN,KS,752
20,2010,ALLEN,KY,288
21,2010,ALLEN,OH,8193
22,2010,ALLENDALE,SC,1023
23,2010,ALPINE,CA,174
24,2010,AMADOR,CA,1903
25,2010,ANDERSON,KS,320
26,2010,ANDERSON,KY,346
27,2010,ANDERSON,SC,19249
28,2010,ANTELOPE,NE,41
29,2010,APACHE,AZ,847
30,2010,APPLING,GA,579
31,2010,ARAPAHOE,CO,13957
32,2010,ARCHULETA,CO,256
33,2010,ARMSTRONG,PA,603
34,2010,ARTHUR,NE,0
35,2010,ASHLAND,OH,1899
36,2010,ASHLAND,WI,862
37,2010,ASHTABULA,OH,895
38,2010,ASOTIN,WA,1226
39,2010,ATCHISON,KS,757
40,2010,ATHENS,OH,3561
41,2010,ATKINSON,GA,92
42,2010,ATLANTIC,NJ,22505
43,2010,ATOKA,OK,565
44,2010,AUGLAIZE,OH,484
45,2010,AURORA,SD,4
46,2010,BACA,CO,34
47,2010,BACON,GA,313
48,2010,BAKER,FL,789
49,2010,BAKER,GA,10
50,2010,BAKER,OR,461
51,2010,BALDWIN,GA,4711
52,2010,BALLARD,KY,421
53,2010,BAMBERG,SC,1465
54,2010,BANKS,GA,1173
55,2010,BANNER,NE,0
56,2010,BARBER,KS,44
57,2010,BARBOUR,WV,271
58,2010,BARNWELL,SC,2263
59,2010,BARREN,KY,990
60,2010,BARRON,WI,1315
61,2010,BARROW,GA,4648
62,2010,BARTON,KS,2526
63,2010,BARTOW,GA,7747
64,2010,BATH,KY,82
65,2010,BAY,FL,16811
66,2010,BAYFIELD,WI,627
67,2010,BEADLE,SD,72
68,2010,BEAUFORT,SC,12724
69,2010,BEAVER,OK,107
70,2010,BEAVER,PA,6165
71,2010,BECKHAM,OK,467
72,2010,BEDFORD,PA,974
73,2010,BELKNAP,NH,4198
74,2010,BELL,KY,1529
75,2010,BELMONT,OH,279
76,2010,BEN HILL,GA,476
77,2010,BENNETT,SD,44
78,2010,BENNINGTON,VT,1642
79,2010,BENT,CO,76
80,2010,BENTON,OR,3436
81,2010,BENTON,WA,9499
82,2010,BERGEN,NJ,25002
83,2010,BERKELEY,SC,12137
84,2010,BERKELEY,WV,5106
85,2010,BERKS,PA,8657
86,2010,BERNALILLO,NM,69495
87,2010,BERRIEN,GA,1090
88,2010,BIBB,GA,6033
89,2010,BIG HORN,WY,299
90,2010,BLAINE,NE,0
91,2010,BLAINE,OK,241
92,2010,BLAIR,PA,1982
93,2010,BLECKLEY,GA,941
94,2010,BON HOMME,SD,2
95,2010,BOONE,KY,6648
96,2010,BOONE,NE,0
97,2010,BOONE,WV,986
98,2010,BOULDER,CO,10081
99,2010,BOURBON,KS,1099
100,2010,BOURBON,KY,650
101,2010,BOX BUTTE,NE,368
102,2010,BOYD,KY,3628
103,2010,BOYD,NE,34
104,2010,BOYLE,KY,1405
105,2010,BRACKEN,KY,240
106,2010,BRADFORD,FL,1353
107,2010,BRADFORD,PA,1504
108,2010,BRANTLEY,GA,731
109,2010,BRAXTON,WV,318
110,2010,BREATHITT,KY,73
111,2010,BRECKINRIDGE,KY,112
112,2010,BREVARD,FL,40731
113,2010,BRONX,NY,40
114,2010,BROOKE,WV,445
115,2010,BROOKINGS,SD,522
116,2010,BROOKS,GA,1386
117,2010,BROOME,NY,11998
118,2010,BROWARD,FL,151956
119,2010,BROWN,KS,208
120,2010,BROWN,NE,72
121,2010,BROWN,OH,1021
122,2010,BROWN,SD,1265
123,2010,BROWN,WI,10090
124,2010,BRULE,SD,30
125,2010,BRYAN,GA,1286
126,2010,BRYAN,OK,2810
127,2010,BUCKS,PA,15786
128,2010,BUFFALO,NE,2293
129,2010,BUFFALO,SD,0
130,2010,BUFFALO,WI,212
131,2010,BULLITT,KY,2928
132,2010,BULLOCH,GA,5517
133,2010,BURKE,GA,2388
134,2010,BURLINGTON,NJ,16746
135,2010,BURNETT,WI,580
136,2010,BURT,NE,76
137,2010,BUTLER,KS,3483
138,2010,BUTLER,KY,56
139,2010,BUTLER,NE,140
140,2010,BUTLER,OH,20552
141,2010,BUTLER,PA,5036
142,2010,BUTTE,CA,13490
143,2010,BUTTE,SD,105
144,2010,BUTTS,GA,1429
145,2010,CABELL,WV,3946
146,2010,CADDO,OK,1195
147,2010,CALAVERAS,CA,1836
148,2010,CALDWELL,KY,612
149,2010,CALEDONIA,VT,1198
150,2010,CALHOUN,FL,260
151,2010,CALHOUN,GA,146
152,2010,CALHOUN,SC,925
153,2010,CALHOUN,WV,74
154,2010,CALLOWAY,KY,2545
155,2010,CALUMET,WI,1135
156,2010,CAMBRIA,PA,5639
157,2010,CAMDEN,GA,3258
158,2010,CAMDEN,NJ,38912
159,2010,CAMERON,PA,276
160,2010,CAMPBELL,KY,5972
161,2010,CAMPBELL,SD,6
162,2010,CAMPBELL,WY,2454
163,2010,CANADIAN,OK,3103
