,Year,Average (Monthly) Number Unemployed,county,state
0,2010,6005.75,Lee County,AL
1,2011,5503.583333,Lee County,AL
2,2012,4671.25,Lee County,AL
3,2013,4144.25,Lee County,AL
4,2014,3987,Lee County,AL
5,2015,3719.083333,Lee County,AL
6,2010,1020.416667,Bibb County,AL
7,2011,937.25,Bibb County,AL
8,2012,750.6666667,Bibb County,AL
9,2013,689.3333333,Bibb County,AL
10,2014,616.6666667,Bibb County,AL
11,2015,567.3333333,Bibb County,AL
12,2010,845.9166667,Clay County,AL
13,2011,663.1666667,Clay County,AL
14,2012,507.5,Clay County,AL
15,2013,450.3333333,Clay County,AL
16,2014,394.1666667,Clay County,AL
17,2015,340.1666667,Clay County,AL
18,2010,1947.75,Dale County,AL
19,2011,1828.916667,Dale County,AL
20,2012,1589.416667,Dale County,AL
21,2013,1530.416667,Dale County,AL
22,2014,1437.75,Dale County,AL
23,2015,1261.666667,Dale County,AL
24,2010,971.6666667,Hale County,AL
25,2011,869.6666667,Hale County,AL
26,2012,713.0833333,Hale County,AL
27,2013,721.5,Hale County,AL
28,2014,595.5833333,Hale County,AL
29,2015,470.3333333,Hale County,AL
30,2010,1478.916667,Pike County,AL
31,2011,1368.083333,Pike County,AL
32,2012,1197.666667,Pike County,AL
33,2013,1138.833333,Pike County,AL
34,2014,1101.166667,Pike County,AL
35,2015,983.1666667,Pike County,AL
36,2010,717.0833333,Coosa County,AL
37,2011,559,Coosa County,AL
38,2012,415.5833333,Coosa County,AL
39,2013,407.5833333,Coosa County,AL
40,2014,393.9166667,Coosa County,AL
41,2015,295.75,Coosa County,AL
42,2010,790.4166667,Henry County,AL
43,2011,707.0833333,Henry County,AL
44,2012,582.8333333,Henry County,AL
45,2013,533,Henry County,AL
46,2014,508,Henry County,AL
47,2015,456.4166667,Henry County,AL
48,2010,766.8333333,Lamar County,AL
49,2011,566.3333333,Lamar County,AL
50,2012,436.9166667,Lamar County,AL
51,2013,408,Lamar County,AL
52,2014,392.3333333,Lamar County,AL
53,2015,354.75,Lamar County,AL
54,2010,1319.083333,Macon County,AL
55,2011,1195.416667,Macon County,AL
56,2012,889,Macon County,AL
57,2013,811.4166667,Macon County,AL
58,2014,750.3333333,Macon County,AL
59,2015,641.0833333,Macon County,AL
60,2010,654.5,Perry County,AL
61,2011,638.75,Perry County,AL
62,2012,491,Perry County,AL
63,2013,482.5,Perry County,AL
64,2014,422.9166667,Perry County,AL
65,2015,347.5,Perry County,AL
66,2010,2445.833333,Blount County,AL
67,2011,2183.916667,Blount County,AL
68,2012,1716.416667,Blount County,AL
69,2013,1561.5,Blount County,AL
70,2014,1503.416667,Blount County,AL
71,2015,1321.25,Blount County,AL
72,2010,1262.75,Butler County,AL
73,2011,1146,Butler County,AL
74,2012,1049.083333,Butler County,AL
75,2013,941.4166667,Butler County,AL
76,2014,792.1666667,Butler County,AL
77,2015,693.9166667,Butler County,AL
78,2010,1807.666667,Clarke County,AL
79,2011,1662.416667,Clarke County,AL
80,2012,1258.25,Clarke County,AL
81,2013,1140.25,Clarke County,AL
82,2014,992.6666667,Clarke County,AL
83,2015,937.5,Clarke County,AL
84,2010,1816.75,Coffee County,AL
85,2011,1690.333333,Coffee County,AL
86,2012,1453,Coffee County,AL
87,2013,1410.666667,Coffee County,AL
88,2014,1342.583333,Coffee County,AL
89,2015,1207,Coffee County,AL
90,2010,3002.416667,Dallas County,AL
91,2011,2648.25,Dallas County,AL
92,2012,2162.833333,Dallas County,AL
93,2013,1992.416667,Dallas County,AL
94,2014,1799,Dallas County,AL
95,2015,1494.666667,Dallas County,AL
96,2010,3915.666667,DeKalb County,AL
97,2011,3529.916667,DeKalb County,AL
98,2012,2609.166667,DeKalb County,AL
99,2013,2210.166667,DeKalb County,AL
100,2014,1988.75,DeKalb County,AL
101,2015,1744.666667,DeKalb County,AL
102,2010,3320.666667,Elmore County,AL
103,2011,3076,Elmore County,AL
104,2012,2541.666667,Elmore County,AL
105,2013,2271.75,Elmore County,AL
106,2014,2087.5,Elmore County,AL
107,2015,1845.833333,Elmore County,AL
108,2010,4806.916667,Etowah County,AL
109,2011,4484.416667,Etowah County,AL
110,2012,3643.083333,Etowah County,AL
111,2013,3324.333333,Etowah County,AL
112,2014,3079.75,Etowah County,AL
113,2015,2639,Etowah County,AL
114,2010,1196.75,Geneva County,AL
115,2011,1057.166667,Geneva County,AL
116,2012,853,Geneva County,AL
117,2013,768.1666667,Geneva County,AL
118,2014,720.75,Geneva County,AL
119,2015,637.8333333,Geneva County,AL
120,2010,570.8333333,Greene County,AL
121,2011,557.9166667,Greene County,AL
122,2012,423.75,Greene County,AL
123,2013,382.6666667,Greene County,AL
124,2014,372.0833333,Greene County,AL
125,2015,318.5833333,Greene County,AL
126,2010,1792.166667,Marion County,AL
127,2011,1407.416667,Marion County,AL
128,2012,1110.666667,Marion County,AL
129,2013,988,Marion County,AL
130,2014,971,Marion County,AL
131,2015,867.5833333,Marion County,AL
132,2010,21786.75,Mobile County,AL
133,2011,20879.83333,Mobile County,AL
134,2012,17313.91667,Mobile County,AL
135,2013,15957.5,Mobile County,AL
136,2014,14354.83333,Mobile County,AL
137,2015,12852.75,Mobile County,AL
138,2010,1580.75,Monroe County,AL
139,2011,1307.583333,Monroe County,AL
140,2012,999.75,Monroe County,AL
141,2013,922.9166667,Monroe County,AL
142,2014,841.75,Monroe County,AL
143,2015,738.5,Monroe County,AL
144,2010,6216.75,Morgan County,AL
145,2011,5508.583333,Morgan County,AL
146,2012,4479.166667,Morgan County,AL
147,2013,3910.666667,Morgan County,AL
148,2014,3695.5,Morgan County,AL
149,2015,3226.083333,Morgan County,AL
150,2010,7261.583333,Shelby County,AL
151,2011,6486.666667,Shelby County,AL
152,2012,5299.75,Shelby County,AL
153,2013,4950.416667,Shelby County,AL
154,2014,4807,Shelby County,AL
155,2015,4555.416667,Shelby County,AL
156,2010,770.8333333,Sumter County,AL
157,2011,731.25,Sumter County,AL
158,2012,569,Sumter County,AL
159,2013,493.6666667,Sumter County,AL
160,2014,455.5833333,Sumter County,AL
161,2015,407.5833333,Sumter County,AL
162,2010,3463.5,Walker County,AL
163,2011,3058.333333,Walker County,AL
164,2012,2438.166667,Walker County,AL
165,2013,2227.75,Walker County,AL
166,2014,2037.166667,Walker County,AL
167,2015,1846.416667,Walker County,AL
168,2010,804.9166667,Wilcox County,AL
169,2011,689.75,Wilcox County,AL
170,2012,574.8333333,Wilcox County,AL
171,2013,535.8333333,Wilcox County,AL
172,2014,485.4166667,Wilcox County,AL
173,2015,414.0833333,Wilcox County,AL
174,2010,2282,Autauga County,AL
175,2011,2159.416667,Autauga County,AL
176,2012,1778.75,Autauga County,AL
177,2013,1605.333333,Autauga County,AL
178,2014,1494.583333,Autauga County,AL
179,2015,1330.333333,Autauga County,AL
180,2010,8339.416667,Baldwin County,AL
181,2011,7626.666667,Baldwin County,AL
182,2012,6348.916667,Baldwin County,AL
183,2013,5653.5,Baldwin County,AL
184,2014,5299.916667,Baldwin County,AL
185,2015,4861.75,Baldwin County,AL
186,2010,1262.333333,Barbour County,AL
187,2011,1137,Barbour County,AL
188,2012,1078.833333,Barbour County,AL
189,2013,931.0833333,Barbour County,AL
190,2014,932,Barbour County,AL
191,2015,764.6666667,Barbour County,AL
192,2010,584.6666667,Bullock County,AL
193,2011,561.1666667,Bullock County,AL
194,2012,491.3333333,Bullock County,AL
195,2013,447.3333333,Bullock County,AL
196,2014,417.5,Bullock County,AL
197,2015,379.0833333,Bullock County,AL
198,2010,5859.5,Calhoun County,AL
199,2011,5304.666667,Calhoun County,AL
200,2012,4396.666667,Calhoun County,AL
201,2013,4242.25,Calhoun County,AL
202,2014,3772.583333,Calhoun County,AL
203,2015,3231.416667,Calhoun County,AL
204,2010,1998.416667,Chilton County,AL
205,2011,1785.666667,Chilton County,AL
206,2012,1400.916667,Chilton County,AL
207,2013,1268.666667,Chilton County,AL
208,2014,1196,Chilton County,AL
209,2015,1079.25,Chilton County,AL
210,2010,643.6666667,Choctaw County,AL
211,2011,626.3333333,Choctaw County,AL
212,2012,494.3333333,Choctaw County,AL
213,2013,433.4166667,Choctaw County,AL
214,2014,404.9166667,Choctaw County,AL
215,2015,398.1666667,Choctaw County,AL
216,2010,2774.5,Colbert County,AL
217,2011,2480.916667,Colbert County,AL
218,2012,2103.75,Colbert County,AL
219,2013,1958.833333,Colbert County,AL
220,2014,1992.5,Colbert County,AL
221,2015,1869.833333,Colbert County,AL
222,2010,860,Conecuh County,AL
223,2011,727.9166667,Conecuh County,AL
224,2012,552.5,Conecuh County,AL
225,2013,504.25,Conecuh County,AL
226,2014,487.0833333,Conecuh County,AL
227,2015,431.6666667,Conecuh County,AL
228,2010,3757.083333,Cullman County,AL
229,2011,3389.916667,Cullman County,AL
230,2012,2732.916667,Cullman County,AL
231,2013,2380.666667,Cullman County,AL
232,2014,2178.333333,Cullman County,AL
233,2015,1912.166667,Cullman County,AL
234,2010,888.75,Fayette County,AL
235,2011,736,Fayette County,AL
236,2012,559.5,Fayette County,AL
237,2013,531.4166667,Fayette County,AL
238,2014,497.6666667,Fayette County,AL
239,2015,450.6666667,Fayette County,AL
240,2010,4244.416667,Houston County,AL
241,2011,4031.416667,Houston County,AL
242,2012,3476.166667,Houston County,AL
243,2013,3157.75,Houston County,AL
244,2014,3062.25,Houston County,AL
245,2015,2782.666667,Houston County,AL
246,2010,2879.5,Jackson County,AL
247,2011,2480.666667,Jackson County,AL
248,2012,2035.75,Jackson County,AL
249,2013,1865,Jackson County,AL
250,2014,1702.083333,Jackson County,AL
251,2015,1560.833333,Jackson County,AL
252,2010,803,Lowndes County,AL
253,2011,749.8333333,Lowndes County,AL
254,2012,629,Lowndes County,AL
255,2013,565.5,Lowndes County,AL
256,2014,496,Lowndes County,AL
257,2015,441.5833333,Lowndes County,AL
258,2010,14177.08333,Madison County,AL
259,2011,14213.66667,Madison County,AL
260,2012,11810.33333,Madison County,AL
261,2013,10811.75,Madison County,AL
262,2014,10494.08333,Madison County,AL
263,2015,9373.333333,Madison County,AL
264,2010,1114.666667,Marengo County,AL
265,2011,990.8333333,Marengo County,AL
266,2012,777,Marengo County,AL
267,2013,678.5833333,Marengo County,AL
268,2014,607.5,Marengo County,AL
269,2015,566.5,Marengo County,AL
270,2010,1011.5,Pickens County,AL
271,2011,907,Pickens County,AL
272,2012,757.9166667,Pickens County,AL
273,2013,693.1666667,Pickens County,AL
274,2014,636,Pickens County,AL
275,2015,541.5833333,Pickens County,AL
276,2010,2589.166667,Russell County,AL
