,Year,Average Total Employment,county,state
0,2010,66764.16667,Lee County,AL
1,2011,68315.5,Lee County,AL
2,2012,68918.25,Lee County,AL
3,2013,70523,Lee County,AL
4,2014,71372.16667,Lee County,AL
5,2015,70858.83333,Lee County,AL
6,2010,8934,Bibb County,AL
7,2011,8933.416667,Bibb County,AL
8,2012,8797.416667,Bibb County,AL
9,2013,8705.666667,Bibb County,AL
10,2014,8561.25,Bibb County,AL
11,2015,8572.333333,Bibb County,AL
12,2010,5851,Clay County,AL
13,2011,5597.666667,Clay County,AL
14,2012,5412.833333,Clay County,AL
15,2013,5393.083333,Clay County,AL
16,2014,5513.25,Clay County,AL
17,2015,5548.25,Clay County,AL
18,2010,22071.25,Dale County,AL
19,2011,22016.75,Dale County,AL
20,2012,21370.33333,Dale County,AL
21,2013,20750.33333,Dale County,AL
22,2014,20323,Dale County,AL
23,2015,19836.5,Dale County,AL
24,2010,6445.083333,Hale County,AL
25,2011,6295.5,Hale County,AL
26,2012,6212.166667,Hale County,AL
27,2013,6207.666667,Hale County,AL
28,2014,6033.916667,Hale County,AL
29,2015,6047.583333,Hale County,AL
30,2010,15676.91667,Pike County,AL
31,2011,15438.5,Pike County,AL
32,2012,15016.58333,Pike County,AL
33,2013,14923.5,Pike County,AL
34,2014,14953.08333,Pike County,AL
35,2015,14939.08333,Pike County,AL
36,2010,4654.333333,Coosa County,AL
37,2011,4477.333333,Coosa County,AL
38,2012,4445,Coosa County,AL
39,2013,4451.666667,Coosa County,AL
40,2014,4469.166667,Coosa County,AL
41,2015,4425.5,Coosa County,AL
42,2010,7259,Henry County,AL
43,2011,7270.083333,Henry County,AL
44,2012,7029.416667,Henry County,AL
45,2013,6953.5,Henry County,AL
46,2014,6778,Henry County,AL
47,2015,6715.833333,Henry County,AL
48,2010,5801.416667,Lamar County,AL
49,2011,5826.166667,Lamar County,AL
50,2012,5806.333333,Lamar County,AL
51,2013,5802.083333,Lamar County,AL
52,2014,5626.75,Lamar County,AL
53,2015,5615,Lamar County,AL
54,2010,8937.083333,Macon County,AL
55,2011,8512.75,Macon County,AL
56,2012,8285.75,Macon County,AL
57,2013,8414.75,Macon County,AL
58,2014,8239.416667,Macon County,AL
59,2015,7967.416667,Macon County,AL
60,2010,3890.583333,Perry County,AL
61,2011,3865.833333,Perry County,AL
62,2012,3683.25,Perry County,AL
63,2013,3565.75,Perry County,AL
64,2014,3490.25,Perry County,AL
65,2015,3484.333333,Perry County,AL
66,2010,24905.83333,Blount County,AL
67,2011,25123.33333,Blount County,AL
68,2012,24960.25,Blount County,AL
