,Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles)
0,2010,AL,Lee,6005.75,9.025,7107,66764.16667,"(32.5888702, -85.39627689999999)",0.10645,"[6005.75, 1319.08333, 3320.66667, 584.66667, 2589.16667, 2199.75, 1296.41667, 2499.83333, 3757.58333, 1265.83333, 248.16667, 8233.91667]","[9.025, 14.76667, 9.05833, 11.80833, 10.89167, 14.925, 13.38333, 13.10833, 11.54167, 7.71667, 10.325, 10.075]","[7107, 1909, 132, 269, 1078, 2894, 901, 2456, 5446, 856, 66, 29151]","[0.10645, 0.2136, 0.0036, 0.05445, 0.04527, 0.19615, 0.09282, 0.12873, 0.16733, 0.05215, 0.02747, 0.35673]","['(32.5888702, -85.39627689999999)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(32.0573536, -85.7256372)', '(32.3552497, -85.1894045)', '(32.9028048, -85.35496499999999)', '(33.2681523, -85.52002399999999)', '(32.9201244, -85.84862360000001)', '(33.0698575, -85.02334599999999)', '(32.7032697, -84.8567932)', '(32.1141344, -84.8150781)', '(32.4794133, -84.8984775)']",12,False,False,False,False
6,2010,AL,Bibb,1020.41667,11.425,658,8934.0,"(32.9562798, -87.14228949999999)",0.07365,"[1020.41667, 971.66667, 654.5, 3002.41667, 570.83333, 7261.58333, 2282.0, 1998.41667, 32892.5, 8642.0]","[11.425, 15.09167, 16.84167, 16.875, 17.24167, 7.10833, 8.9, 10.275, 10.33333, 9.21667]","[658, 362, 1, 3401, 612, 5810, 700, 2401, 32317, 17670]","[0.07365, 0.05617, 0.00026, 0.19097, 0.18513, 0.05675, 0.02722, 0.12337, 0.10146, 0.18815]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(32.2332138, -87.14228949999999)', '(32.9718107, -87.9334803)', '(33.3039292, -86.6611083)', '(32.5791817, -86.49965460000001)', '(32.944392, -86.6611083)', '(33.4914122, -86.9824288)', '(33.3227653, -87.460397)']",10,False,False,False,False
12,2010,AL,Clay,845.91667,14.46667,208,5851.0,"(33.279527, -85.84862360000001)",0.03555,"[845.91667, 717.08333, 7261.58333, 5859.5, 2199.75, 604.0, 1296.41667, 4739.75, 2499.83333, 634.33333, 3757.58333, 6055.33333]","[14.46667, 15.40833, 7.10833, 11.36667, 14.925, 10.025, 13.38333, 13.51667, 13.10833, 12.08333, 11.54167, 11.68333]","[208, 2, 5810, 8222, 2894, 616, 901, 6343, 2456, 472, 5446, 8054]","[0.03555, 0.00043, 0.05675, 0.15947, 0.19615, 0.1021, 0.09282, 0.18057, 0.12873, 0.08991, 0.16733, 0.15543]","['(33.279527, -85.84862360000001)', '(32.8897772, -86.2196937)', '(33.3039292, -86.6611083)', '(33.7701576, -85.80766)', '(32.9028048, -85.35496499999999)', '(33.6261707, -85.52002399999999)', '(33.2681523, -85.52002399999999)', '(33.4231716, -86.1344697)', '(32.9201244, -85.84862360000001)', '(33.2990406, -85.14793639999999)', '(33.0698575, -85.02334599999999)', '(33.5642239, -85.0649071)']",12,False,False,False,False
18,2010,AL,Dale,1947.75,8.83333,2160,22071.25,"(31.4645298, -85.684578)",0.09786,"[1947.75, 1478.91667, 790.41667, 1816.75, 1196.75, 1262.33333, 584.66667, 4244.41667, 638.75, 1695.91667, 745.33333, 128.33333, 524.91667, 101.08333]","[8.83333, 9.44167, 10.91667, 8.60833, 10.375, 12.375, 11.80833, 9.15, 10.19167, 10.35, 10.375, 11.68333, 11.725, 10.04167]","[2160, 2865, 471, 753, 1047, 963, 269, 1679, 346, 1719, 585, 16, 658, 140]","[0.09786, 0.18275, 0.06488, 0.03571, 0.09058, 0.09422, 0.05445, 0.03617, 0.05506, 0.10471, 0.08136, 0.01453, 0.14696, 0.13918]","['(31.4645298, -85.684578)', '(31.8395163, -86.0121573)', '(31.4469377, -85.1894045)', '(31.4751172, -86.0121573)', '(31.0990456, -85.684578)', '(31.8172896, -85.35496499999999)', '(32.0573536, -85.7256372)', '(31.1318686, -85.31362179999999)', '(31.6671872, -86.3376761)', '(31.3066438, -86.49965460000001)', '(30.8740806, -85.80766)', '(31.6447931, -85.0025539)', '(31.3901106, -84.8984775)', '(31.8485969, -84.981754)']",14,False,False,False,False
24,2010,AL,Hale,971.66667,15.09167,362,6445.08333,"(32.7859102, -87.6186379)",0.05617,"[1020.41667, 971.66667, 654.5, 3002.41667, 570.83333, 770.83333, 1114.66667, 1011.5, 8642.0]","[11.425, 15.09167, 16.84167, 16.875, 17.24167, 13.33333, 13.7, 13.18333, 9.21667]","[658, 362, 1, 3401, 612, 492, 1379, 451, 17670]","[0.07365, 0.05617, 0.00026, 0.19097, 0.18513, 0.08517, 0.16951, 0.05859, 0.18815]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(32.2332138, -87.14228949999999)', '(32.9718107, -87.9334803)', '(32.6155551, -88.24611829999999)', '(32.2459085, -87.77633329999999)', '(33.3339954, -88.0900762)', '(33.3227653, -87.460397)']",9,False,False,False,False
30,2010,AL,Pike,1478.91667,9.44167,2865,15676.91667,"(31.8395163, -86.0121573)",0.18275,"[1947.75, 1478.91667, 1319.08333, 1262.75, 1816.75, 3320.66667, 1262.33333, 584.66667, 803.0, 638.75, 1695.91667, 10861.16667]","[8.83333, 9.44167, 14.76667, 13.66667, 8.60833, 9.05833, 12.375, 11.80833, 18.45833, 10.19167, 10.35, 9.99167]","[2160, 2865, 1909, 1224, 753, 132, 963, 269, 588, 346, 1719, 25130]","[0.09786, 0.18275, 0.2136, 0.13217, 0.03571, 0.0036, 0.09422, 0.05445, 0.13516, 0.05506, 0.10471, 0.23107]","['(31.4645298, -85.684578)', '(31.8395163, -86.0121573)', '(32.3731182, -85.684578)', '(31.6760284, -86.6611083)', '(31.4751172, -86.0121573)', '(32.5647083, -86.0121573)', '(31.8172896, -85.35496499999999)', '(32.0573536, -85.7256372)', '(32.221464, -86.6611083)', '(31.6671872, -86.3376761)', '(31.3066438, -86.49965460000001)', '(32.2077447, -86.17517590000001)']",12,False,False,False,False
36,2010,AL,Coosa,717.08333,15.40833,2,4654.33333,"(32.8897772, -86.2196937)",0.00043,"[845.91667, 717.08333, 1319.08333, 3320.66667, 7261.58333, 2282.0, 1998.41667, 1296.41667, 4739.75, 10861.16667, 2499.83333]","[14.46667, 15.40833, 14.76667, 9.05833, 7.10833, 8.9, 10.275, 13.38333, 13.51667, 9.99167, 13.10833]","[208, 2, 1909, 132, 5810, 700, 2401, 901, 6343, 25130, 2456]","[0.03555, 0.00043, 0.2136, 0.0036, 0.05675, 0.02722, 0.12337, 0.09282, 0.18057, 0.23107, 0.12873]","['(33.279527, -85.84862360000001)', '(32.8897772, -86.2196937)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(33.3039292, -86.6611083)', '(32.5791817, -86.49965460000001)', '(32.944392, -86.6611083)', '(33.2681523, -85.52002399999999)', '(33.4231716, -86.1344697)', '(32.2077447, -86.17517590000001)', '(32.9201244, -85.84862360000001)']",11,True,False,False,True
42,2010,AL,Henry,790.41667,10.91667,471,7259.0,"(31.4469377, -85.1894045)",0.06488,"[1947.75, 790.41667, 1816.75, 1196.75, 1262.33333, 4244.41667, 128.33333, 149.25, 524.91667, 290.66667, 229.58333, 101.08333, 478.16667, 363.0, 423.91667]","[8.83333, 10.91667, 8.60833, 10.375, 12.375, 9.15, 11.68333, 12.13333, 11.725, 10.35833, 8.76667, 10.04167, 12.20833, 12.16667, 12.54167]","[2160, 471, 753, 1047, 963, 1679, 16, 10, 658, 182, 146, 140, 508, 136, 310]","[0.09786, 0.06488, 0.03571, 0.09058, 0.09422, 0.03617, 0.01453, 0.00812, 0.14696, 0.06493, 0.05573, 0.13918, 0.12968, 0.04565, 0.09164]","['(31.4645298, -85.684578)', '(31.4469377, -85.1894045)', '(31.4751172, -86.0121573)', '(31.0990456, -85.684578)', '(31.8172896, -85.35496499999999)', '(31.1318686, -85.31362179999999)', '(31.6447931, -85.0025539)', '(31.2816037, -84.4802606)', '(31.3901106, -84.8984775)', '(31.2008218, -84.7315563)', '(31.5621777, -84.6479124)', '(31.8485969, -84.981754)', '(31.7370079, -84.4802606)', '(31.7913398, -84.68974949999999)', '(30.9331429, -84.8984775)']",15,False,False,False,False
48,2010,AL,Lamar,766.83333,13.20833,149,5801.41667,"(33.6923649, -88.0900762)",0.02568,"[766.83333, 1792.16667, 3463.5, 888.75, 1011.5, 8642.0, 1425.25, 2143.25, 3098.33333, 699.33333, 1167.08333]","[13.20833, 13.55833, 12.71667, 13.025, 13.18333, 9.21667, 16.41667, 13.15833, 11.86667, 15.81667, 11.275]","[149, 1035, 3336, 409, 451, 17670, 745, 1038, 3297, 350, 182]","[0.02568, 0.07832, 0.12229, 0.05988, 0.05859, 0.18815, 0.0858, 0.06368, 0.12611, 0.079, 0.01758]","['(33.6923649, -88.0900762)', '(34.0441174, -87.77633329999999)', '(33.8563605, -87.30161319999999)', '(33.6871392, -87.77633329999999)', '(33.3339954, -88.0900762)', '(33.3227653, -87.460397)', '(33.65678380000001, -88.8263006)', '(33.8773585, -88.55653099999999)', '(33.473423, -88.4403883)', '(33.1605608, -88.55653099999999)', '(34.2317882, -88.4016041)']",11,False,False,False,False
54,2010,AL,Macon,1319.08333,14.76667,1909,8937.08333,"(32.3731182, -85.684578)",0.2136,"[6005.75, 1478.91667, 717.08333, 1319.08333, 3320.66667, 2282.0, 1262.33333, 584.66667, 2589.16667, 2199.75, 10861.16667, 2499.83333, 8233.91667]","[9.025, 9.44167, 15.40833, 14.76667, 9.05833, 8.9, 12.375, 11.80833, 10.89167, 14.925, 9.99167, 13.10833, 10.075]","[7107, 2865, 2, 1909, 132, 700, 963, 269, 1078, 2894, 25130, 2456, 29151]","[0.10645, 0.18275, 0.00043, 0.2136, 0.0036, 0.02722, 0.09422, 0.05445, 0.04527, 0.19615, 0.23107, 0.12873, 0.35673]","['(32.5888702, -85.39627689999999)', '(31.8395163, -86.0121573)', '(32.8897772, -86.2196937)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(32.5791817, -86.49965460000001)', '(31.8172896, -85.35496499999999)', '(32.0573536, -85.7256372)', '(32.3552497, -85.1894045)', '(32.9028048, -85.35496499999999)', '(32.2077447, -86.17517590000001)', '(32.9201244, -85.84862360000001)', '(32.4794133, -84.8984775)']",13,False,False,False,False
