Year,State,County,Number Unemployed,Percent Unemployed,Number of Crimes,Total Labor Force,Coordinates,Crimes per Capita,Number Unemployed for Area Counties (50 Miles),Unemployed Percent for Area Counties (50 Miles),Number of Crimes for Area Counties (50 Miles),Crime Percent for Area Counties (50 Miles),Coordinates for Area Counties (50 Miles),Total Area Counties (50 Miles),Highest Unemployment in Area (50 Miles),Lowest Unemployment in Area (50 Miles),Highest Crime Rate in Area (50 Miles),Lowest Crime Rate in Area (50 Miles),Average Crime Rate (50 Miles),Average Unemployment Rate (50 Miles)
2010,AL,Coosa,717.0833299999999,15.40833,2,4654.3333299999995,"(32.8897772, -86.2196937)",0.00043,"[845.91667, 717.08333, 1319.08333, 3320.66667, 7261.58333, 2282.0, 1998.41667, 1296.41667, 4739.75, 10861.16667, 2499.83333]","[14.46667, 15.40833, 14.76667, 9.05833, 7.10833, 8.9, 10.275, 13.38333, 13.51667, 9.99167, 13.10833]","[208, 2, 1909, 132, 5810, 700, 2401, 901, 6343, 25130, 2456]","[0.03555, 0.00043, 0.2136, 0.0036, 0.05675, 0.02722, 0.12337, 0.09282, 0.18057, 0.23107, 0.12873]","['(33.279527, -85.84862360000001)', '(32.8897772, -86.2196937)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(33.3039292, -86.6611083)', '(32.5791817, -86.49965460000001)', '(32.944392, -86.6611083)', '(33.2681523, -85.52002399999999)', '(33.4231716, -86.1344697)', '(32.2077447, -86.17517590000001)', '(32.9201244, -85.84862360000001)']",11,True,False,False,True,0.09942818181818182,11.816666363636363
2010,AL,Greene,570.8333299999999,17.241670000000003,612,3305.83333,"(32.9718107, -87.9334803)",0.18513,"[1020.41667, 971.66667, 654.5, 570.83333, 770.83333, 1011.5, 8642.0, 576.0, 3098.33333, 699.33333]","[11.425, 15.09167, 16.84167, 17.24167, 13.33333, 13.18333, 9.21667, 14.75, 11.86667, 15.81667]","[658, 362, 1, 612, 492, 451, 17670, 85, 3297, 350]","[0.07365, 0.05617, 0.00026, 0.18513, 0.08517, 0.05859, 0.18815, 0.02176, 0.12611, 0.079]","['(32.9562798, -87.14228949999999)', '(32.7859102, -87.6186379)', '(32.598888, -87.30161319999999)', '(32.9718107, -87.9334803)', '(32.6155551, -88.24611829999999)', '(33.3339954, -88.0900762)', '(33.3227653, -87.460397)', '(32.8018452, -88.7108964)', '(33.473423, -88.4403883)', '(33.1605608, -88.55653099999999)']",10,True,False,False,False,0.087399,13.876668
2010,AL,Wilcox,804.9166700000001,26.258329999999997,200,3066.08333,"(32.0105439, -87.3413599)",0.06523,"[654.5, 1262.75, 1807.66667, 3002.41667, 1580.75, 804.91667, 860.0, 803.0, 1114.66667]","[16.84167, 13.66667, 19.85833, 16.875, 18.13333, 26.25833, 17.25833, 18.45833, 13.7]","[1, 1224, 761, 3401, 1275, 200, 752, 588, 1379]","[0.00026, 0.13217, 0.08356, 0.19097, 0.14635, 0.06523, 0.15067, 0.13516, 0.16951]","['(32.598888, -87.30161319999999)', '(31.6760284, -86.6611083)', '(31.7002461, -87.77633329999999)', '(32.2332138, -87.14228949999999)', '(31.5119068, -87.460397)', '(32.0105439, -87.3413599)', '(31.501571, -86.9824288)', '(32.221464, -86.6611083)', '(32.2459085, -87.77633329999999)']",9,True,False,False,False,0.11932,17.894443333333335
2010,AL,Winston,1578.8333300000002,16.0,576,9882.5,"(34.1690087, -87.3413599)",0.05828,"[2445.83333, 1792.16667, 6216.75, 3463.5, 2774.5, 3757.08333, 888.75, 1578.83333, 1530.75, 1877.0, 3695.5]","[9.84167, 13.55833, 10.76667, 12.71667, 11.46667, 10.44167, 13.025, 16.0, 10.76667, 12.60833, 9.65833]","[661, 1035, 2416, 3336, 2833, 4229, 409, 576, 1176, 292, 2816]","[0.02654, 0.07832, 0.04179, 0.12229, 0.11693, 0.11761, 0.05988, 0.05828, 0.0825, 0.0196, 0.07348]","['(34.0145152, -86.49965460000001)', '(34.0441174, -87.77633329999999)', '(34.4240875, -86.86218269999999)', '(33.8563605, -87.30161319999999)', '(34.7117567, -87.89424509999999)', '(34.2011537, -86.8220341)', '(33.6871392, -87.77633329999999)', '(34.1690087, -87.3413599)', '(34.3967457, -87.6186379)', '(34.567428, -87.30161319999999)', '(34.78000720000001, -86.9423801)']",11,True,False,False,False,0.07247454545454546,11.895455454545454
2010,AL,Chambers,2199.75,14.925,2894,14754.166669999999,"(32.9028048, -85.35496499999999)",0.19615,"[6005.75, 845.91667, 1319.08333, 3320.66667, 2589.16667, 2199.75, 1296.41667, 2499.83333, 634.33333, 3757.58333, 6223.66667, 1265.83333, 6055.33333, 8233.91667, 1282.41667]","[9.025, 14.46667, 14.76667, 9.05833, 10.89167, 14.925, 13.38333, 13.10833, 12.08333, 11.54167, 9.68333, 7.71667, 11.68333, 10.075, 13.73333]","[7107, 208, 1909, 132, 1078, 2894, 901, 2456, 472, 5446, 6008, 856, 8054, 29151, 1136]","[0.10645, 0.03555, 0.2136, 0.0036, 0.04527, 0.19615, 0.09282, 0.12873, 0.08991, 0.16733, 0.09341, 0.05215, 0.15543, 0.35673, 0.12167]","['(32.5888702, -85.39627689999999)', '(33.279527, -85.84862360000001)', '(32.3731182, -85.684578)', '(32.5647083, -86.0121573)', '(32.3552497, -85.1894045)', '(32.9028048, -85.35496499999999)', '(33.2681523, -85.52002399999999)', '(32.9201244, -85.84862360000001)', '(33.2990406, -85.14793639999999)', '(33.0698575, -85.02334599999999)', '(33.3716708, -84.7315563)', '(32.7032697, -84.8567932)', '(33.5642239, -85.0649071)', '(32.4794133, -84.8984775)', '(33.0561282, -84.68974949999999)']",15,True,False,False,False,0.12392,11.742777333333333
2010,AR,Union,1942.0833300000002,11.30833,3400,17164.41667,"(33.1431092, -92.539603)",0.19808,"[1942.08333, 980.0, 539.66667, 235.5, 1049.41667, 1080.33333]","[11.30833, 10.06667, 10.79167, 8.78333, 9.98333, 9.56667]","[3400, 1238, 344, 76, 1461, 1565]","[0.19808, 0.12704, 0.06878, 0.02835, 0.13904, 0.13857]","['(33.1431092, -92.539603)', '(33.1565939, -91.7538817)', '(33.5081368, -92.2236667)', '(33.5020885, -92.539603)', '(33.1285176, -93.17796589999999)', '(33.5828512, -92.9375739)']",6,True,False,True,False,0.11664333333333333,10.083333333333334
2010,AR,Dallas,430.33333,12.34167,343,3487.4166700000005,"(34.0346533, -92.6983868)",0.09835,"[874.91667, 606.5, 430.33333, 401.58333, 3558.0, 539.66667, 235.5, 3516.5, 1080.33333, 326.41667, 3535.33333, 1218.83333]","[8.575, 7.08333, 12.34167, 10.0, 6.68333, 10.79167, 8.78333, 8.46667, 9.56667, 8.40833, 10.40833, 8.59167]","[1614, 782, 343, 417, 4510, 344, 76, 12347, 1565, 241, 10265, 606]","[0.15805, 0.09128, 0.09835, 0.10385, 0.08449, 0.06878, 0.02835, 0.29707, 0.13857, 0.06197, 0.30215, 0.04271]","['(34.0232374, -93.17796589999999)', '(34.2628015, -92.4208713)', '(34.0346533, -92.6983868)', '(33.6621386, -93.33889169999999)', '(34.5708215, -92.539603)', '(33.5081368, -92.2236667)', '(33.5020885, -92.539603)', '(34.5559285, -93.17796589999999)', '(33.5828512, -92.9375739)', '(33.86580070000001, -92.2236667)', '(34.227351, -91.9099238)', '(34.3393795, -92.97755579999999)']",12,True,False,False,False,0.12296833333333333,9.141666666666666
2010,AR,Jackson,797.5833299999999,11.85833,1528,6733.25,"(35.6479574, -91.13530200000001)",0.22693000000000002,"[715.16667, 618.5, 3004.5, 1914.75, 797.58333, 708.0, 1001.33333, 744.0, 378.75, 3546.5, 2386.25, 1500.25]","[8.3, 9.80833, 8.25833, 9.74167, 11.85833, 9.50833, 9.325, 10.25833, 10.44167, 7.43333, 10.45, 8.78333]","[855, 18, 5579, 4150, 1528, 561, 1693, 259, 40, 7658, 8556, 3287]","[0.09921, 0.00285, 0.15309, 0.21085, 0.22693, 0.07535, 0.15767, 0.03568, 0.01102, 0.16023, 0.37495, 0.19269]","['(35.2998913, -90.8294002)', '(36.16759740000001, -91.44346900000001)', '(35.2900612, -91.7538817)', '(36.1314931, -90.563609)', '(35.6479574, -91.13530200000001)', '(35.9969735, -91.13530200000001)', '(35.6078586, -90.6393702)', '(36.3457918, -90.9820668)', '(35.1215846, -91.13530200000001)', '(35.8260959, -90.6773046)', '(35.3021443, -90.37483540000001)', '(35.8174139, -91.5983959)']",12,True,False,False,False,0.14171,9.5138875
2010,AR,Arkansas,2107.91667,18.6,1606,11331.83333,"(34.2354138, -91.28910359999999)",0.14172,"[316.75, 654.5, 315.08333, 440.91667, 365.25, 2107.91667, 904.25, 3535.33333, 1697.25, 1435.91667]","[8.575, 11.15833, 9.25, 9.38333, 9.225, 18.6, 10.54167, 10.40833, 11.39167, 13.71667]","[542, 826, 315, 198, 239, 1606, 1765, 10265, 2079, 2539]","[0.14635, 0.14039, 0.09229, 0.04214, 0.06024, 0.14172, 0.20559, 0.30215, 0.13945, 0.24227]","['(34.7712669, -90.8294002)', '(33.8773585, -91.44346900000001)', '(34.5918747, -91.13530200000001)', '(33.9185116, -91.714958)', '(34.7636336, -91.5983959)', '(34.2354138, -91.28910359999999)', '(34.4611206, -90.86751339999999)', '(34.227351, -91.9099238)', '(33.8829962, -90.8294002)', '(34.1960298, -90.6393702)']",10,True,False,False,False,0.151259,11.225
2010,AR,Van Buren,724.0833299999999,11.19167,682,6475.6666700000005,"(35.6266232, -92.539603)",0.10532000000000001,"[2347.91667, 419.0, 1559.66667, 872.58333, 681.16667, 262.25, 312.33333, 892.41667, 4245.91667, 724.08333]","[7.80833, 7.625, 9.38333, 9.675, 10.15, 6.925, 9.20833, 8.63333, 7.24167, 11.19167]","[3872, 397, 2083, 1736, 496, 224, 77, 1664, 8005, 682]","[0.12884, 0.0719, 0.12541, 0.19228, 0.07386, 0.0591, 0.02269, 0.16098, 0.13635, 0.10532]","['(35.440627, -93.0175712)', '(35.8075142, -92.2236667)', '(36.3261815, -92.38136209999999)', '(35.2727492, -92.6983868)', '(36.3194702, -92.6983868)', '(35.9603994, -93.17796589999999)', '(35.9721, -92.6983868)', '(35.4605769, -92.0665197)', '(35.1035858, -92.38136209999999)', '(35.6266232, -92.539603)']",10,True,False,False,False,0.107673,8.784166
